Country,Cases,Fatalities,EI,SPI,Flight Count,Density,GDP,Healthcare Spending,Cluster
Colombia,-0.31263128193573214,-0.27103828654638623,-0.2618853889768411,-0.11990408431789298,-0.07201470057255897,-0.5185427223267655,-0.5019038780197972,-0.5633245240763686,1
Costa Rica,-0.42759219533695164,-0.32236298626631976,-0.04374978395085486,0.6595968133302811,-0.4119738944101907,-0.2576084246835572,-0.38575896813413085,-0.30990303173484723,1
Croatia,-0.3961069819115564,-0.3113499940187227,0.4850638039909318,0.5510396283580007,-0.3740267435241484,-0.38570344352658675,0.023488113649425123,-0.24407805864034188,1
Cyprus,-0.42465951897467563,-0.32049285550729384,0.5842163517300168,0.847310279011514,-0.33467452023156924,-0.11053636601193073,0.45634731750409857,0.3369038850233078,1
Denmark,-0.2398774467403889,-0.2348824252052185,1.3047248653007004,1.37124947037078,-0.13850222674726317,-0.096303586140483,1.273594048207076,1.7861228784980328,2
Dominican Republic,-0.2963021399505793,-0.2650123096561916,-0.43374980505792177,-0.35812679578483947,-0.32341629751605894,0.3259355500457995,-0.4323594958442985,-0.5308581533110435,1
Ecuador,0.10129839054135271,-0.18584344085742777,-0.05697012364939953,-0.0015465979245054117,-0.3939695377119797,-0.4284017831409299,-0.6307013212416849,-0.567056526814184,1
Egypt,-0.3317523318177717,-0.2535837327954777,-0.7576481276722661,-0.7682317167912291,-0.19326779422890358,-0.24811990476925874,-0.6308795259365613,-0.7638135867879521,1
El Salvador,-0.43636676301288146,-0.3219474016532029,-1.0352752613417042,-0.546594130806158,-0.4574231857274709,0.7291976464034851,-0.7905954837194971,-0.6759503101378368,1
Estonia,-0.40530385498365396,-0.3132201247777486,1.0469282411790795,0.9106353035786773,-0.4556807280973453,-0.5944508816411533,0.34211810808835313,0.07543559487653313,1
Ethiopia,-0.44103558378162483,-0.32298636318599505,-2.562224496523611,-1.9970387411302268,-0.4194834210478654,-0.23863138485496024,-1.0632486668803247,-0.8227069057936865,3
Fiji,-0.4435224933368349,-0.32360974010567034,0.2735383688142171,-0.6069036780129804,-0.46032596485715277,-0.4995656824981685,-0.7214520621074701,-0.6080994361361967,1
Finland,-0.3337934745659158,-0.28350582493989235,1.2716740160543387,1.3312943953462604,-0.3008835337219801,-0.6561262610840936,0.9166500443697311,1.247399844224004,2
France,3.417545359592164,4.516496456559963,0.5842163517300168,1.197859522151167,1.2320634183445027,-0.17221174545487086,0.8136922819049153,0.9266699423923536,0
Georgia,-0.4322844775165932,-0.32236298626631976,0.8816739949472711,-0.04225554228910963,-0.4291271564540746,-0.4616116028409746,-0.6724903221901908,-0.6784090252582533,1
Germany,3.280741872644713,0.9493259298713043,1.4765892813817802,1.2770158028601206,1.6119406900505624,0.3828666695315904,1.193401935512715,1.2047741917612216,2
Ghana,-0.4075796118407802,-0.32132402473352756,-1.0815464502866097,-0.7652162394308881,-0.4586613814002077,-0.11528062596907997,-0.9474601663844111,-0.7617073739519957,1
Greece,-0.3844935835169434,-0.2953499864137232,0.7296400884140074,0.7975549025658861,0.09531029743368696,-0.3572378837836913,0.12537664794498277,0.012471259803037827,1
Guatemala,-0.4315102509569524,-0.32049285550729384,-1.3988346030516816,-0.922021062168625,-0.44942875831805085,0.050768472531143485,-0.7841355635302291,-0.6500530128530125,1
Honduras,-0.42843680612928714,-0.3109344094056058,-1.4517159618458604,-0.8737734244031674,-0.4632639941049294,-0.3145395441693481,-0.9254073353934618,-0.7411126096900795,1
Hungary,-0.3833439743829312,-0.26542789426930846,0.6172672009763778,0.5178693773942488,-0.3005420014256742,-0.23863138485496024,0.13499970146830612,-0.19909735448535196,1
Iceland,-0.4019019504034138,-0.321531817040086,1.2915045256021558,1.3109399231639582,-0.3931613370405483,-0.7178016405270337,1.3166304820197166,2.50981713103453,2
India,0.247017213630123,-0.12849276424729963,-1.088156620135882,-0.9649916145534857,1.6805608299658332,1.2605547616042,-0.8287758395967567,-0.7656587732451655,1
Indonesia,-0.23053980520290213,-0.16464862558846738,-0.6452752402346364,-0.48100749821873995,1.215397081530939,-0.048860986568990586,-0.5996046019857604,-0.6788096130665026,1
Iran,1.7021173789478854,0.882832391772605,0.13472480197949813,-0.5089006638018944,-0.24962683145900408,-0.4900771625838701,-0.21757828734456808,-0.6030979972203483,1
Ireland,0.017025002594989357,-0.09462261827827467,1.2915045256021558,1.2114291702727014,-0.07288386812070917,-0.3999362233980345,2.2710502766037703,2.333735193506353,2
Israel,-0.07900255221137624,-0.28122010956774957,1.0138773919327178,0.7191524911970172,-0.2228108531760907,1.2463219817327524,0.5835854696458181,1.0987680066883894,2
Italy,4.23458899412226,5.282003313921239,0.4652332944431148,1.0395469607332588,1.315728291485409,0.22156183098851617,0.6751826828122661,0.6233640584837815,0
